"longitude","latitude","environment.2017_land_distance","environment.2017_mean_depth","environment.2017_net_primary_production","environment.2017_sea.bottom_dissolved_oxygen","fishing.activity.2017_total_fishing","species.richness.2017","stocks.richness.2017","thermohalinity_2017","cluster","distance_class_interpretation","hotspot"
13.22,45.53,2.473778614,3.417301495,5.463825952,2.421513646,0.552076568,1.324848484,1.245779943,-2.177461383,11,"high risk",1
12.72,45.03,-0.25242392,2.31502074,12.21727336,-0.728638168,6.054958643,0.912715186,1.245779943,-0.989897645,11,"high risk",1
13.22,45.03,-0.362189449,0.988201215,3.946322147,0.529808714,2.992267486,1.3556047,1.664992642,-1.408282221,11,"high risk",1
14.22,45.03,2.875893494,1.367748141,1.054717813,2.749582081,-0.046289348,1.183369889,1.338938321,-0.883151276,11,"high risk",1
12.72,44.53,-0.25242392,2.866161175,19.29979868,0.052149092,3.218738063,0.672816699,1.012883999,-0.378986705,11,"high risk",1
13.22,44.53,-0.376655944,1.082206677,2.988456882,1.943174531,1.642767287,1.380209673,1.664992642,-1.254053584,11,"high risk",1
13.72,44.53,0.865319125,1.970557924,1.609891298,2.448634333,0.31012397,1.724679295,1.851309397,-1.514002119,11,"high risk",1
14.22,44.53,0.865319125,4.591470244,1.84615223,2.849630247,-0.278531529,1.589351943,1.664992642,-1.284514492,11,"high risk",1
14.72,44.53,0.865319125,4.188898105,2.129384806,2.790086048,-0.324102047,1.435570862,1.525255076,-1.001330175,11,"high risk",1
8.22,44.03,5.047313825,-0.137698381,-0.073926506,-0.791476965,-0.012249783,1.164916159,0.873146433,-0.969859863,11,"high risk",1
8.72,44.03,0.959934366,-0.315827468,-0.216193771,-0.765665569,0.921679721,0.678967942,0.826567244,-0.594504542,11,"high risk",1
9.22,44.03,1.324878959,-0.268193262,-0.208530288,-0.659251918,1.807895454,0.746631618,0.826567244,-0.698243996,11,"high risk",1
9.72,44.03,4.082238132,0.155913944,0.165953084,2.247060716,0.79666,1.287941024,1.059463188,-1.468440686,11,"high risk",1
12.72,44.03,0.865319125,6.36752367,7.762512519,2.21205778,3.288531472,1.232579835,1.199200754,-1.044258005,11,"high risk",1
13.22,44.03,-0.371957424,1.921348967,1.275553337,2.248725036,0.853227517,0.943471402,1.199200754,-0.59535553,11,"high risk",1
13.72,44.03,-0.438379638,1.488310144,0.70614823,1.714395125,1.142407452,0.685119186,1.245779943,-0.726447292,11,"high risk",1
14.22,44.03,-0.381237004,2.526997839,1.06033036,0.857271158,0.30763233,1.004983835,1.338938321,-0.859874316,11,"high risk",1
14.72,44.03,0.704473162,8.462356047,1.536791168,1.331355374,0.01592631,1.8107967,1.804730208,-1.262365604,11,"high risk",1
15.22,44.03,1.669548855,5.346292962,1.67741256,2.31025312,1.986834689,1.835401673,1.75815102,-2.028326601,11,"high risk",1
7.22,43.53,2.875893494,-0.281040693,0.130871473,-0.27333864,-0.378225876,1.736981781,1.385517509,-0.771182384,11,"high risk",1
7.72,43.53,1.324878959,-0.359460675,0.096337579,-0.378136008,0.564399827,1.921519079,1.75815102,-0.585289161,11,"high risk",1
8.22,43.53,0.780663351,-0.372957751,-0.112306976,-0.217614357,-0.177356871,1.066496267,1.245779943,-0.560357898,11,"high risk",1
8.72,43.53,-0.367136871,-0.383974067,-0.217707926,-0.184598627,-0.406705114,-0.557431951,-0.710545986,-0.367936775,1,"low risk",0
9.22,43.53,-0.424983567,-0.341927532,-0.212121045,-0.59644487,-0.220588129,-0.286777248,-0.291333287,-0.363130031,11,"high risk",1
9.72,43.53,-0.260602531,-0.120073341,0.057590825,0.858783798,1.324021239,1.84770416,1.851309397,-0.703039519,11,"high risk",1
10.22,43.53,1.483957386,0.988201215,0.791455349,2.609429603,1.316771426,1.657015619,1.571834264,-2.20341668,11,"high risk",1
13.72,43.53,0.780663351,2.021860956,0.308228879,1.921333019,4.266854635,1.3556047,1.618413453,-0.631939755,11,"high risk",1
14.22,43.53,-0.371957424,1.521004929,0.250497902,0.824371928,2.106230665,0.758934105,1.245779943,-0.633137306,11,"high risk",1
14.72,43.53,-0.381237004,2.526997839,0.359990216,0.628246375,0.478375002,0.765085348,1.245779943,-0.798074218,11,"high risk",1
15.22,43.53,0.704473162,3.29285053,0.4788889,1.834453082,0.543234125,1.730830538,1.991046963,-1.227610817,11,"high risk",1
15.72,43.53,1.483957386,2.189761566,0.448231001,2.117085382,0.686325583,1.878460376,1.991046963,-1.679390599,11,"high risk",1
3.22,43.03,2.152086716,3.066575784,1.032722772,2.325250684,0.716177277,1.423268376,1.199200754,-2.185788317,11,"high risk",1
3.72,43.03,0.865319125,1.396453386,1.175461015,1.545610373,1.651031894,1.589351943,1.292359132,-1.790812575,11,"high risk",1
4.22,43.03,-0.139968088,1.189452274,4.355500052,1.401426377,1.406167598,1.989182755,1.75815102,-1.55430012,11,"high risk",1
4.72,43.03,0.780663351,1.166811547,10.05943057,0.680628717,1.123411247,1.509385781,1.432096698,-1.482348965,11,"high risk",1
5.22,43.03,1.187011023,0.02227662,3.476927121,0.954440316,-0.288886429,2.364408593,1.711571831,-1.686126065,11,"high risk",1
