longitude,latitude,environment.2018_land_distance_inv,environment.2018_mean_depth_inv,environment.2018_net_primary_production,environment.2018_sea.bottom_dissolved_oxygen,fishing.activity.2018_total_fishing,species.richness.2018,stocks.richness.2018,thermohalinity_2018,cluster,distance_class_interpretation,hotspot
3.22,42.53,0.780663351,1.312947231,0.807927087,0.954786667,0.652530841,1.685465508,1.354633045,-1.606373384,17,high risk,1
3.72,42.53,-0.268512987,-0.040198628,0.426404802,0.371396605,0.299782413,1.372778187,1.265138287,-1.129674357,2,high risk,1
4.22,42.53,-0.447709044,-0.266111919,1.43772056,-0.067248803,-0.224532535,1.573370053,1.488875182,-0.926622023,2,high risk,1
4.72,42.53,-0.424983567,-0.34276294,2.242275353,-0.181032564,-0.346247829,1.39637723,1.444127803,-0.801953877,2,high risk,1
5.22,42.53,-0.424983567,-0.374430884,0.335060621,-0.174790384,-0.370124877,0.664806892,0.951906635,-0.724751408,3,medium risk,0
5.72,42.53,-0.424983567,-0.387467779,0.091314469,-0.086715732,-0.372354417,0.440615982,0.638674982,-0.635219282,3,medium risk,0
6.22,42.53,-0.424983567,-0.389717176,0.092666363,0.300601685,-0.345895541,0.859498998,1.13089615,-0.555272152,3,medium risk,0
6.72,42.53,-0.441554225,-0.395060752,-0.100359023,-0.081623325,-0.361339369,-0.308653638,-0.211525219,-0.432661257,11,medium risk,0
7.22,42.53,-0.479937931,-0.397268136,-0.088219046,-0.103018676,-0.372252267,-0.556443591,-0.614251629,-0.423509123,14,medium risk,0
7.72,42.53,-0.507756083,-0.397957249,-0.092745512,-0.135078369,-0.372364953,-0.562343351,-0.56950425,-0.432097545,13,medium risk,0
8.22,42.53,-0.390063914,-0.397446606,-0.098873301,-0.08663284,-0.372381021,-0.367651246,-0.256272598,-0.350652757,11,medium risk,0
9.72,42.53,0.704473162,-0.11738668,-0.173422471,0.633258947,0.039316491,1.561570532,1.488875182,-0.572653041,2,high risk,1
10.22,42.53,0.780663351,0.694019567,-0.136048002,2.002449633,0.42296648,1.490773402,1.533622561,-0.860079193,17,high risk,1
10.72,42.53,0.959934366,0.661599549,-0.129750829,2.296968992,2.37135602,1.331479861,1.57836994,-1.449876112,17,high risk,1
14.22,42.53,0.780663351,2.021860956,0.440430614,1.903350306,6.863562371,1.467174359,1.667864698,-1.005650749,1,high risk,1
14.72,42.53,-0.376655944,0.423046233,-0.206979364,0.618124787,3.352442965,0.375718614,1.086148771,-0.387979758,3,medium risk,0
15.22,42.53,-0.441554225,0.905126653,-0.274193827,0.794936721,1.896104355,0.092530096,0.638674982,-0.37283521,3,medium risk,0
15.72,42.53,-0.441554225,3.845966291,-0.262877083,1.539388513,1.414319162,-0.190658422,0.370190708,-0.59378126,6,medium risk,0
16.22,42.53,-0.390063914,1.261369897,-0.23194559,2.116270857,0.872432056,0.092530096,0.72816974,-0.71415613,3,medium risk,0
16.72,42.53,0.780663351,1.367748141,-0.035699846,2.491710014,0.211633712,1.301981057,1.667864698,-0.944771744,17,high risk,1
17.22,42.53,0.704473162,0.803829256,0.37428561,2.201618931,-0.018443257,1.915556179,1.802106835,-0.912095618,17,high risk,1
17.72,42.53,1.187011023,0.557072904,0.943327741,2.184437277,-0.018366099,1.927355701,1.712612077,-1.435387032,17,high risk,1
18.22,42.53,5.047313825,0.84531295,0.938022857,2.104869518,-0.164459186,1.355078904,1.533622561,-1.523358649,8,high risk,1
3.22,42.03,1.483957386,0.752509211,0.500859336,0.134713782,3.461331623,2.057150438,1.57836994,-1.306835219,17,high risk,1
3.72,42.03,-0.276168285,-0.308859604,0.266257008,-0.496302529,0.040836677,1.130887994,1.220390908,-0.902732657,2,high risk,1
4.22,42.03,-0.462050378,-0.379925731,0.228267639,-0.131345563,-0.37195627,-0.32635292,-0.480009492,-0.832659326,13,medium risk,0
4.72,42.03,-0.542082967,-0.386343486,0.064944276,-0.000623361,-0.372343922,-0.485646461,-0.435262113,-0.821536072,13,medium risk,0
5.22,42.03,-0.544837168,-0.387638495,-0.027913733,0.023951364,-0.371796685,-0.562343351,-0.480009492,-0.831552564,13,medium risk,0
5.72,42.03,-0.544837168,-0.393051862,-0.026339652,-0.032993905,-0.372381021,-0.580042634,-0.703746387,-0.766737939,14,medium risk,0
6.22,42.03,-0.544837168,-0.395663987,-0.033488619,-0.052799933,-0.372381021,-0.562343351,-0.703746387,-0.665041241,14,medium risk,0
6.72,42.03,-0.551403485,-0.39717022,-0.029010585,-0.100651253,-0.37222015,-0.538744308,-0.658999008,-0.526098972,14,medium risk,0
7.22,42.03,-0.562188698,-0.398502266,-0.027332401,-0.110987504,-0.372381021,-0.562343351,-0.703746387,-0.422203046,14,medium risk,0
7.72,42.03,-0.509654339,-0.398958395,-0.070456972,-0.130690336,-0.372381021,-0.585942395,-0.658999008,-0.389224881,14,medium risk,0
8.22,42.03,-0.390063914,-0.394477888,-0.091092052,-0.048676699,-0.372381021,-0.332252681,-0.301019977,-0.261271145,13,medium risk,0
8.72,42.03,2.875893494,-0.209664383,-0.070001894,0.08951248,-0.372381021,1.337379622,1.175643529,-0.650176968,8,high risk,1
9.72,42.03,0.780663351,-0.183482491,-0.212970868,-0.055655317,-0.322321126,1.296081296,1.399380424,-0.644410932,2,high risk,1
10.22,42.03,-0.390063914,-0.109049502,-0.221572893,0.139240657,0.315351484,0.635308088,1.13089615,-0.608029425,3,medium risk,0
10.72,42.03,0.704473162,-0.256967805,-0.225793688,0.392236386,0.782004158,1.012892779,1.13089615,-0.584298254,2,high risk,1
11.22,42.03,0.780663351,0.126669122,-0.182043784,1.720173666,2.613242492,1.425876034,1.309885666,-1.133225728,17,high risk,1
11.72,42.03,2.473778614,0.515843375,-0.077942284,2.578833625,3.047781809,1.119088473,0.907159256,-1.830961813,8,high risk,1
15.22,42.03,0.704473162,1.663672942,-0.133862506,1.764989337,3.851931439,1.048291343,1.444127803,-0.616098191,1,high risk,1
15.72,42.03,-0.376655944,1.286773672,-0.207507181,2.023581948,3.073318292,0.27542268,0.907159256,-0.612872278,3,medium risk,0
16.22,42.03,-0.444663381,0.874540064,-0.229004812,1.921489042,1.728696958,0.151527704,0.862411877,-0.521554376,3,medium risk,0
16.72,42.03,-0.444663381,0.168473877,-0.250496219,1.385327191,0.653385366,0.175126747,0.817664498,-0.603264795,3,medium risk,0
17.22,42.03,-0.444663381,-0.290174853,-0.221727763,-0.174632974,0.115925448,0.493713829,1.041401392,-0.438264205,3,medium risk,0
17.72,42.03,-0.444663381,-0.327433245,-0.096882823,-0.094152078,-0.070855711,0.7238045,1.220390908,-0.331046487,3,medium risk,0
18.22,42.03,-0.371957424,-0.274865412,0.096297257,0.637843691,-0.240414223,1.331479861,1.57836994,-0.476268051,2,high risk,1
18.72,42.03,1.066376551,0.777629077,0.088271276,2.338835516,0.26862665,1.791661203,1.802106835,-0.974857189,17,high risk,1
2.72,41.53,2.875893494,0.273760004,2.054045408,0.388259376,0.512709484,2.481933215,1.533622561,-1.209170411,17,high risk,1
3.22,41.53,0.865319125,-0.021335407,0.812325335,-0.007172781,2.325939557,2.706124125,1.802106835,-1.02320363,17,high risk,1
3.72,41.53,-0.376655944,-0.370022251,0.197032943,-0.232737964,-0.209942517,0.540911916,0.951906635,-0.769820092,3,medium risk,0
4.22,41.53,-0.491381518,-0.393670953,0.130368251,-0.047046443,-0.372381021,-0.497445983,-0.56950425,-0.661365254,13,medium risk,0
4.72,41.53,-0.555138646,-0.394624993,0.038941247,-0.058503815,-0.372381021,-0.526944787,-0.56950425,-0.670473172,13,medium risk,0
5.22,41.53,-0.593128629,-0.392536821,0.002635569,-0.030797383,-0.372381021,-0.456147657,-0.56950425,-0.707381855,13,medium risk,0
5.72,41.53,-0.599812319,-0.394624993,0.030783241,-0.04075296,-0.372381021,-0.467947179,-0.56950425,-0.66990919,13,medium risk,0
6.22,41.53,-0.599812319,-0.396472195,0.038186915,-0.071338889,-0.372381021,-0.4797467,-0.658999008,-0.590543378,14,medium risk,0
6.72,41.53,-0.601909795,-0.397941508,0.012049188,-0.09915011,-0.372381021,-0.532844548,-0.658999008,-0.425879392,14,medium risk,0
7.22,41.53,-0.568729132,-0.399063371,-0.020744504,-0.147020776,-0.372381021,-0.580042634,-0.748493766,-0.3427621,14,medium risk,0
