"longitude","latitude","environment.2019_land_distance","environment.2019_mean_depth","environment.2019_net_primary_production","environment.2019_sea.bottom_dissolved_oxygen","fishing.activity.2019_total_fishing","species.richness.2019","stocks.richness.2019","thermohalinity_2019","distance_class","distance_class_interpretation"
14.22,43.03,-0.268512987,1.554827015,0.247897562,2.245163106,3.634333108,0.439087175,0.858003168,-0.91411303,1,"high risk"
14.72,43.03,-0.456484246,1.312947231,-0.359742293,1.890424891,0.860681979,-0.18228369,0.470818971,-0.940835265,1,"high risk"
15.22,43.03,-0.385704947,0.565748968,-0.375870671,1.009477747,0.813318839,0.068654544,0.761207119,-0.433251824,3,"high risk"
15.72,43.03,0.704473162,1.456687339,-0.328181609,1.518583533,1.606232464,0.833418685,1.245187366,-0.852251124,1,"high risk"
16.22,43.03,0.780663351,1.261369897,-0.118552384,2.108461207,0.657821764,1.526486189,1.535575514,-1.417292844,1,"high risk"
16.72,43.03,1.187011023,3.845966291,0.056715532,2.06606156,-0.210746748,1.239699636,1.341983415,-1.192778211,1,"high risk"
17.22,43.03,3.392898338,1.663672942,0.626499024,2.123075157,-0.015614422,1.162028278,1.099993292,-1.986058842,1,"high risk"
3.22,42.53,0.780663351,1.312947231,1.185647029,1.882256675,0.789459764,1.628056427,1.245187366,-1.689541735,1,"high risk"
3.72,42.53,-0.268512987,-0.040198628,0.871978345,0.69958582,0.215067852,1.07240748,0.906401193,-1.204445864,3,"high risk"
4.22,42.53,-0.447709044,-0.266111919,1.588086832,0.083442146,-0.217913484,0.64820237,0.616013045,-1.012279244,3,"high risk"
4.72,42.53,-0.424983567,-0.34276294,2.104438057,-0.18105959,-0.39655471,0.618328771,0.712809094,-0.943851078,3,"high risk"
5.22,42.53,-0.424983567,-0.374430884,0.87232931,-0.259815346,-0.416315671,0.068654544,0.422420946,-0.844083025,3,"high risk"
5.72,42.53,-0.424983567,-0.387467779,0.617585826,-0.196155386,-0.408188678,0.140351182,0.228828848,-0.720071481,3,"high risk"
6.22,42.53,-0.424983567,-0.389717176,0.540197407,0.191632142,-0.408946036,0.678075969,0.761207119,-0.634343071,3,"high risk"
6.72,42.53,-0.441554225,-0.395060752,0.411647299,-0.017968352,-0.374735342,-0.403348325,-0.497141522,-0.562277402,4,"medium risk"
7.22,42.53,-0.479937931,-0.397268136,0.405139762,0.041128546,-0.417642364,-0.690134878,-0.545539547,-0.601828356,4,"medium risk"
7.72,42.53,-0.507756083,-0.397957249,0.410579347,0.049247443,-0.416878832,-0.672210719,-0.78752967,-0.579347479,4,"medium risk"
8.22,42.53,-0.390063914,-0.397446606,0.423708088,0.024286523,-0.417323147,-0.510893282,-0.642335596,-0.456961927,4,"medium risk"
9.72,42.53,0.704473162,-0.11738668,0.162429404,0.448374999,0.038043515,1.944716579,1.583973538,-0.510480833,3,"high risk"
10.22,42.53,0.780663351,0.694019567,0.225520869,1.707230723,0.189085091,1.777424423,1.438779464,-0.971761219,3,"high risk"
10.72,42.53,0.959934366,0.661599549,0.41328507,1.918022204,2.095854219,1.47868843,1.535575514,-1.449276263,1,"high risk"
14.22,42.53,0.780663351,2.021860956,0.637857318,2.171490685,5.585069818,1.114230519,1.29358539,-1.208322941,1,"high risk"
14.72,42.53,-0.376655944,0.423046233,-0.231007208,0.992505375,2.829604421,0.092553423,0.616013045,-0.364088028,1,"high risk"
15.22,42.53,-0.441554225,0.905126653,-0.337080361,0.75588204,1.912153849,-0.086688173,0.374022922,-0.283917094,3,"high risk"
15.72,42.53,-0.441554225,3.845966291,-0.34277962,1.433947394,1.225262343,-0.134485931,0.325624897,-0.769351636,1,"high risk"
16.22,42.53,-0.390063914,1.261369897,-0.363056353,1.711120302,0.896219384,0.008907345,0.761207119,-0.938503005,1,"high risk"
16.72,42.53,0.780663351,1.367748141,-0.2774153,1.963352613,0.207836956,1.281522675,1.487177489,-1.184017876,1,"high risk"
17.22,42.53,0.704473162,0.803829256,0.014310293,1.885539925,0.011981504,1.651955306,1.535575514,-1.180707101,3,"high risk"
17.72,42.53,1.187011023,0.557072904,0.486505715,1.893317084,0.109196398,1.717677224,1.535575514,-1.595764533,1,"high risk"
18.22,42.53,5.047313825,0.84531295,0.635199053,1.47448302,-0.160936209,1.108255799,1.29358539,-1.686530985,1,"high risk"
3.22,42.03,1.483957386,0.752509211,0.483344968,0.851853503,2.943032781,1.765474983,1.196789341,-1.379805422,1,"high risk"
3.72,42.03,-0.276168285,-0.308859604,0.611861359,-0.244920831,-0.13293487,0.552606852,0.712809094,-0.997630222,3,"high risk"
4.22,42.03,-0.462050378,-0.379925731,0.485228058,-0.199701554,-0.417642364,-0.61843824,-0.690733621,-0.988461397,4,"medium risk"
4.72,42.03,-0.542082967,-0.386343486,0.455658382,-0.152051118,-0.417642364,-0.636362399,-0.690733621,-0.941267135,4,"medium risk"
5.22,42.03,-0.544837168,-0.387638495,0.469441422,-0.128272617,-0.417636363,-0.60051408,-0.545539547,-0.839173483,4,"medium risk"
5.72,42.03,-0.544837168,-0.393051862,0.45988556,-0.056992874,-0.417536274,-0.62441296,-0.593937572,-0.780108534,4,"medium risk"
6.22,42.03,-0.544837168,-0.395663987,0.421212533,0.02033743,-0.417424413,-0.642337119,-0.690733621,-0.72069494,4,"medium risk"
6.72,42.03,-0.551403485,-0.39717022,0.38570658,0.037732371,-0.417642364,-0.648311839,-0.835927695,-0.596729944,4,"medium risk"
7.22,42.03,-0.562188698,-0.398502266,0.35981473,0.044296458,-0.417642364,-0.666235999,-0.932723744,-0.491592782,4,"medium risk"
7.72,42.03,-0.509654339,-0.398958395,0.367538543,0.057483998,-0.417642364,-0.702084318,-0.642335596,-0.466496912,4,"medium risk"
8.22,42.03,-0.390063914,-0.394477888,0.368873455,-0.012651742,-0.417642364,-0.433221924,-0.448743498,-0.331004054,4,"medium risk"
8.72,42.03,2.875893494,-0.209664383,0.290602716,0.06525562,-0.417642364,1.807298022,1.196789341,-0.707110204,3,"high risk"
