"longitude","latitude","environment.2017_land_distance_inv","environment.2017_mean_depth_inv","environment.2017_net_primary_production","environment.2017_sea.bottom_dissolved_oxygen","fishing.activity.2017_total_fishing","species.richness.2017","stocks.richness.2017","thermohalinity_2017","distance_class_interpretation","classification"
13.22,45.53,2.473778614,3.417301495,5.463825952,2.421513646,0.552076568,1.324848484,1.245779943,-2.177461383,0.999624536503308,1
12.72,45.03,-0.25242392,2.31502074,12.21727336,-0.728638168,6.054958643,0.912715186,1.245779943,-0.989897645,0.999486020737803,1
13.22,45.03,-0.362189449,0.988201215,3.946322147,0.529808714,2.992267486,1.3556047,1.664992642,-1.408282221,0.99963542009823,1
14.22,45.03,2.875893494,1.367748141,1.054717813,2.749582081,-0.046289348,1.183369889,1.338938321,-0.883151276,0.999582236235907,1
12.72,44.53,-0.25242392,2.866161175,19.29979868,0.052149092,3.218738063,0.672816699,1.012883999,-0.378986705,0.998757171718685,0
13.22,44.53,-0.376655944,1.082206677,2.988456882,1.943174531,1.642767287,1.380209673,1.664992642,-1.254053584,0.999657239051184,1
13.72,44.53,0.865319125,1.970557924,1.609891298,2.448634333,0.31012397,1.724679295,1.851309397,-1.514002119,0.999612104258745,1
14.22,44.53,0.865319125,4.591470244,1.84615223,2.849630247,-0.278531529,1.589351943,1.664992642,-1.284514492,0.999625329729472,1
14.72,44.53,0.865319125,4.188898105,2.129384806,2.790086048,-0.324102047,1.435570862,1.525255076,-1.001330175,0.999640241863023,1
8.22,44.03,5.047313825,-0.137698381,-0.073926506,-0.791476965,-0.012249783,1.164916159,0.873146433,-0.969859863,0.999315498610626,0
8.72,44.03,0.959934366,-0.315827468,-0.216193771,-0.765665569,0.921679721,0.678967942,0.826567244,-0.594504542,0.999545544597612,1
9.22,44.03,1.324878959,-0.268193262,-0.208530288,-0.659251918,1.807895454,0.746631618,0.826567244,-0.698243996,0.99956538486837,1
9.72,44.03,4.082238132,0.155913944,0.165953084,2.247060716,0.79666,1.287941024,1.059463188,-1.468440686,0.99955147671467,1
12.72,44.03,0.865319125,6.36752367,7.762512519,2.21205778,3.288531472,1.232579835,1.199200754,-1.044258005,0.999641541955011,1
13.22,44.03,-0.371957424,1.921348967,1.275553337,2.248725036,0.853227517,0.943471402,1.199200754,-0.59535553,0.999662189826851,1
